published_date,stock_ticker,vic_url,Company,published_price,current_price,delta_from_publish
2022-02-28,SRI,https://www.valueinvestorsclub.com/idea/STONERIDGE_INC/3449687618,"Stoneridge, Inc.",17.14,16.21,-0.05
2022-02-28,POSH,https://www.valueinvestorsclub.com/idea/POSHMARK_INC/1796950124,Poshmark Inc,13.68,11.3,-0.17
2022-02-27,GRMN,https://www.valueinvestorsclub.com/idea/GARMIN_LTD/7434097800,Garmin Ltd.,111.83,95.65,-0.14
2022-02-26,NMIH,https://www.valueinvestorsclub.com/idea/NMI_HOLDINGS_INC/6668032519,NMI Holdings Inc,23.34,15.92,-0.32
2022-02-25,FROG,https://www.valueinvestorsclub.com/idea/JFROG_LTD/7743906154,JFrog Ltd,24.13,18.96,-0.21
2022-02-24,NLS,https://www.valueinvestorsclub.com/idea/NAUTILUS_INC/6235392140,"Nautilus, Inc.",4.88,1.99,-0.59
2022-02-24,CLMT,https://www.valueinvestorsclub.com/idea/CALUMET_SPECIALTY_PRODS__-LP/3794297998,"Calumet Specialty Products Partners, L.P",14.65,10.78,-0.26
2022-02-24,RMBI,https://www.valueinvestorsclub.com/idea/RICHMOND_MUTUAL_BANCO_INC/7366503059,Richmond Mutual Bancorporation Inc,16.75,13.34,-0.20
2022-02-23,YY,https://www.valueinvestorsclub.com/idea/JOYY_INC_-ADR/0659156091,JOYY Inc,45.45,31.08,-0.32
2022-02-22,CZR,https://www.valueinvestorsclub.com/idea/CAESARS_ENTERTAINMENT_INC/8181690567,Caesars Entertainment Inc,76.57,40.11,-0.48
2022-02-22,PDSB,https://www.valueinvestorsclub.com/idea/PDS_BIOTECHNOLOGY_CORP/7282165836,PDS Biotechnology Corp,5.87,3.46,-0.41
2022-02-22,SMLR,https://www.valueinvestorsclub.com/idea/SEMLER_SCIENTIFIC_INC/6263712078,Semler Scientific Inc,72.63,29.58,-0.59
2022-02-21,HMHC,https://www.valueinvestorsclub.com/idea/HOUGHTON_MIFFLIN_HARCOURT_CO/9000011325,Houghton Mifflin Harcourt Ord Shs,18.12,208.45,10.50
2022-02-21,MAH,https://www.valueinvestorsclub.com/idea/MacMahon_Holdings/9060871712,Marksmen Energy Inc,0.17,0.07,-0.59
2022-02-21,KVHI,https://www.valueinvestorsclub.com/idea/KVH_INDUSTRIES_INC/4547200319,"KVH Industries, Inc.",8.5,8.01,-0.06
2022-02-21,AGFY,https://www.valueinvestorsclub.com/idea/AGRIFY_CORP/9360613418,Agrify Corp,5.97,2.15,-0.64
2022-02-21,GFL,https://www.valueinvestorsclub.com/idea/GFL_ENVIRONMENTAL_INC/6174816915,GFL Environmental Inc,36.28,25.63,-0.29
2022-02-21,DWAC,https://www.valueinvestorsclub.com/idea/DIGITAL_WORLD_ACQ_CORP_-REDH/4429699681,Digital World Acquisition Corp,84,28.58,-0.66
2022-02-21,MNPP,https://www.valueinvestorsclub.com/idea/MERCHANTS_NATIONAL_PPTYS_INC/0281927459,Merchants Natl Pptys Ord Shs,1750,1500,-0.14
2022-02-20,MNTV,https://www.valueinvestorsclub.com/idea/MOMENTIVE_GLOBAL_INC/1068407871,Momentive Global Inc,15.97,9.36,-0.41
2022-02-20,OPRA,https://www.valueinvestorsclub.com/idea/OPERA_LTD_-ADR/7796262007,Opera Ltd,6.66,4.41,-0.34
2022-02-20,CTE,https://www.valueinvestorsclub.com/idea/Cryosite_Limited/2044847360,Cryosite Limited,0.43,0.64,0.49
2022-02-19,ADN1,https://www.valueinvestorsclub.com/idea/Adesso_SE/8181263776,adesso SE,198,165,-0.17
2022-02-19,LDI,https://www.valueinvestorsclub.com/idea/loanDepot/4934460680,Loandepot Inc,4.5,1.45,-0.68
2022-02-18,CDAY,https://www.valueinvestorsclub.com/idea/CERIDIAN_HCM_HOLDING/9473981462,Ceridian HCM Holding Inc,66.85,44.77,-0.33
2022-02-18,SIMO,https://www.valueinvestorsclub.com/idea/SILICON_MOTION_TECH_-ADR/9646352974,Silicon Motion Technology Corp.,75.84,84.32,0.11
2022-02-18,FIS,https://www.valueinvestorsclub.com/idea/FIDELITY_NATIONAL_INFO_SVCS/5438463830,Fidelity National Information Servcs Inc,95,92.97,-0.02
2022-02-18,AMPH,https://www.valueinvestorsclub.com/idea/AMPHASTAR_PHARMACEUTICALS_INC/2844061310,Amphastar Pharmaceuticals Inc,26.21,31.61,0.21
2022-02-18,BBQ,https://www.valueinvestorsclub.com/idea/BBQ_HOLDINGS_INC/4357908269,BBQ Holdings Inc,15.29,10.88,-0.29
2022-02-18,TROX,https://www.valueinvestorsclub.com/idea/TRONOX_HOLDINGS_PLC/7321382319,Tronox Holdings PLC,22,16.37,-0.26
2022-02-18,HTZ,https://www.valueinvestorsclub.com/idea/HERTZ_GLOBAL_HOLDINGS_INC/2289994121,Hertz Global Holdings Inc,18.35,17.68,-0.04
2022-02-17,NUVR,https://www.valueinvestorsclub.com/idea/NUVERA_COMMUNICATIONS_INC/1343055662,Nuvera Communications Inc,21.59,19,-0.12
2022-02-17,PD,https://www.valueinvestorsclub.com/idea/PAGERDUTY_INC/4870452847,Pagerduty Inc,34.07,24.45,-0.28
